folio,trim,unidad,region,ciudad,punto,turno,a1,a2,a3,a3_1,a3_1_1a,a3_1_1n,a3_1_2a,a3_1_2n,a4,a4_1,a5,a5_1,a6,a7,a8,a9,a9_1_1,a9_1_2,a9_1_3,a9_2,a9_3,a10,a10_1,a11_1,a11_1_1,a11_2,a11_2_1,a11_3,a11_3_1,a11_4,a11_4_1,a11_5,a11_5_1,a11_6,a11_6_1,a12p,a12e,a12m,a12u,a13,a14,a14_1e,a14_1m,a14_1u,a14_1u_b,a14_2es,a14_2cn,a15c,a15t,b1,b1_1,b1_2,b2,b3,b4_1,b4_2,b4_3,b4_4,b5,b5_1_1,b5_1_2,b6,b6_1,b7_1,b7_2,b7_3,b7_4,b7_5,b7_6,b8_1,b8_2,b8_3,b8_4,b8_5,b8_6,b8_7,b8_8,b8_1_1,b8_1_2,b8_1_3,b8_1_4,b8_1_5,b8_1_6,b8_1_7,b8_1_8,c1,c2c,c2u,c2_1,c3,c4,c4_1,c4_2,c4_3,c4_3_1_1,c4_3_1_2,c4_3_1_3,c4_3_1_4,c4_4_1,c4_4_2,c4_4_3,c4_4_4,c4_4_5,c4_4_6,c4_4_7,c4_4_8,c4_4_1c,c4_4_1u,c4_5_1,c4_5_2,c4_5_3,c4_5_4,c4_6c,c4_6t,c4_7,c4_8,d1,d2,d3,d4,d4_1,d4_1_1,d4_2,d5_0_1,d5_0_2,d5_0_3,d5_0_4,d5_0_5,d5_0_6,d5_0_7,d5_0_8,d5_0_9,d5_0_10,d5_0_11,d5_1_1,d5_1_1_1,d5_1_2,d5_1_2_1,d5_3,d6,d6_1,d6_2c,d6_2u,d6_3,d7,d8,e1,e1_1,e2,e2_1,e2_1_1c,e2_1_1t,e3_1,e4,e5,e6,e6_1,e7,e8,e9c,e9u,e9t,e10,e11,f1,f1_1,f2,f2_1,f3,f5,f6,f7,f8,f8_1,f9,f10,f11c,f11u,f11t,f12,f13,f14,f15,f16,f17,f18,f19,f19_1c,f19_1t,f19_2,f19_3,g1es,g1cn,g1cd,g2es,g2cn,g3,g4,g5,g6_1,g6_2,g6_3,g6_4,g6_1_1,g6_1_2,g6_1_3,g6_1_4,g6_1_5,g6_1_6,g6_1_7,g7,g7_1,g8,g8_1,g8_1_1_1,g8_1_1_2,g8_1_1_3,g8_1_1_4,g8_1_1_5,g8_1_2,g8_1_2_1_1,g8_1_2_1_2,g8_1_2_1_3,g8_1_2_1_4,g8_1_2_1_5,g9_1,g9_2,g9_3,g10,g10_1,g10_1c,g10_1t,g11c,g11t,g12_1,g12_2,g12_3,g12_4,g12_5,g12_6,g12_7,g12_8,h1,h1_1,h1_1_1,h1_1_2_1,h1_1_2_2,h1_1_3,i1_1,i1_2,i1_3,i1_4,i1_5,i2,i2_1,i2_1_1,i2_2,i2_3_1,i2_3_2,i2_3_3,i2_3_4,i2_3_5,i2_4,j1,j2,j2_1_1,j2_1_2,j2_1_3,j2_1_4,j2_1_5,j2_1_6,j3_1,j3_2,j3_3,j3_4,j4_1,j4_2,j4_3,k1,k1_1_1,k1_1_2,k1_1_3,k1_1_4,k1_1_5,k1_1_6,k1_1_7,k1_1_8,k1_1_9,k1_1_10,k2_1,k2_2,k2_3,l1,l1_1,l1_1_1,l1_2,l1_2_1e,l1_2_1m,l1_2_1u,l1_3,l2,l3,l3_1,oficio_mx,oficio_eua,nivel,filtro,estrato,upm,ponfin3
4703,1,22003,1,1,4,3,1,21,1,2,-2,-2,12,3,-5,3,2,2,1,2,6,5,3,2,0,3,2,2,2,0,-9,0,-10,0,-11,2,1,2,1,1,-14,1,16,16053,2,1,-16,-16,-16,-16,2,-16,-16,15,6,0,-20,-20,2004,1,2,2,2,2,2,-21,-21,2,-22,2,2,2,2,1,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,2,264,2,2,2,-50,5,5,200,2,3,1,2,2,238,2,2,-51,2,-52,-52,-52,-52,36,36071,3607147042,36,36071,1,97,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,1,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,2,1,4,998,98,2,3,2,2,2,2,2,2,2,2,1,1,-65,7,-67,-67,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,998,998,98,98,98,98,98,99998,98,98,98,98,98,-2,6,6,1,11043,11043022003,108.183908
4903,1,22003,1,1,4,3,1,42,1,1,5,1,-3,-3,1,1,2,2,3,2,5,7,4,3,0,2,1,1,-8,2,1,2,1,0,-11,1,-12,3,2,1,-14,1,21,21019,2,1,-16,-16,-16,-16,2,-16,-16,10,6,2,2,1993,2001,1,2,2,2,1,1,1,96,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,2,1,3,524,2,2,2,-50,8,5,15,2,1,3,2,4,561,2,2,-51,1,3,5,1000,7,42,42017,4201709816,42,42017,1,5,4,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,1,2,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,1,1,2,1,2,998,98,40,2,2,2,1,1,1,1,2,2,1,1,-65,6,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,1,3,98,99998,98,98,98,98,98,-2,5,1,1,11043,11043022003,108.183908
5003,1,22003,1,1,4,3,1,24,1,2,-2,-2,8,2,-5,3,2,2,3,2,1,2,0,2,0,2,1,1,-8,2,1,0,-10,0,-11,1,-12,2,2,2,1,1,11,11030,2,2,2,-17,-17,-17,-17,13,13021,10,6,1,-20,-20,2004,1,2,2,2,2,2,-21,-21,2,-22,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,3,713,2,1,1,3,9,7,12,2,1,1,2,97,238,2,2,-51,98,998,98,999998,98,98,99998,9999999998,98,99998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,98,998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,998,998,98,98,98,98,98,99998,98,98,98,98,98,-2,3,3,1,11043,11043022003,108.183908
5103,1,22003,1,1,4,3,1,23,1,2,-2,-2,11,3,-5,3,2,2,1,2,6,8,2,3,2,1,1,2,2,0,-9,2,1,0,-11,2,1,2,1,2,1,1,28,28032,2,1,-16,-16,-16,-16,2,-16,-16,3,6,1,-20,-20,2018,1,2,2,2,2,2,-21,-21,2,-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,1,524,1,2,2,-50,4,7,300,2,3,1,2,2,561,2,2,-51,2,-52,-52,-52,-52,48,48215,4821548768,48,48215,1,3,6,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,2,2,-64,-64,-64,9,5,2,2,1,1,1,97,1,2,1,1,-65,5,96,2,2,2,2,2,2,1,1,2,1,3,2,2,2,2,1,2,2,-71,-71,-71,-71,-71,-71,2,2,97,2,2,97,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,1,-74,-74,-74,-74,-74,-74,-74,1,1,2,-2,5,5,1,11043,11043022003,108.183908
7801,1,62001,1,1,4,3,1,46,1,1,4,1,-3,-3,2,-6,1,1,4,2,6,5,0,0,0,1,1,1,-8,0,-9,0,-10,0,-11,1,-12,1,-13,1,-14,1,20,20551,1,1,-16,-16,-16,-16,1,-16,-16,20,6,1,-20,-20,1999,1,2,2,2,2,2,-21,-21,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,1,922,2,2,2,-50,8,5,100,2,2,1,1,3,236,2,2,-51,1,15,2,999999,4,45,45079,4507916000,45,45079,1,3,3,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,1,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,2,1,2,998,98,2,5,2,2,1,2,1,97,1,2,1,2,2,-66,-66,-66,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,3,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,1,1,-76,-76,-76,1,1,1,7,-2,3,1,1,11043,11043062001,108.183908
7901,1,62001,1,1,4,3,1,30,1,2,-2,-2,12,3,-5,3,2,2,1,2,6,2,0,1,0,1,1,1,-8,2,1,2,2,0,-11,2,2,2,2,2,99,1,25,25001,2,2,1,23,23008,2,2,-19,-19,6,6,4,0,1994,2014,1,2,1,2,2,2,-21,-21,2,-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,5,998,98,98,98,98,98,98,9999998,98,98,98,98,98,998,98,98,98,98,998,98,999998,98,98,99998,9999999998,98,99998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,98,998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,998,998,98,98,98,98,98,99998,98,98,98,98,98,-2,99,6,1,11043,11043062001,108.183908
8001,1,62001,1,1,4,3,1,50,1,1,5,1,-3,-3,1,1,2,2,4,2,6,8,1,5,1,6,2,2,3,2,1,2,1,2,2,2,1,1,-13,1,-14,1,21,21019,2,1,-16,-16,-16,-16,2,-16,-16,25,6,1,-20,-20,1992,1,2,2,2,2,2,-21,-21,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,3,712,1,1,2,-50,10,6,600,2,3,3,2,4,236,1,2,-51,2,-52,-52,-52,-52,34,34017,3401736000,45,45083,2,2,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,1,-55,1,2,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,2,2,1,1,2,998,98,6,5,2,2,2,2,2,2,2,2,2,1,-65,7,-67,-67,2,2,2,2,2,1,1,2,1,3,2,2,2,2,1,2,1,1,2,2,2,2,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,998,998,98,98,98,98,98,99998,98,98,98,98,98,-2,3,1,1,11043,11043062001,108.183908
8301,1,62001,1,1,4,3,1,28,1,1,3,2,-4,-4,-4,1,2,2,6,2,6,6,2,4,0,2,2,2,2,0,-9,0,-10,0,-11,1,-12,1,-13,1,-14,1,12,12001,2,1,-16,-16,-16,-16,2,-16,-16,2,6,1,-20,-20,2017,1,2,2,2,2,2,-21,-21,2,-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,2,1,1,731,1,2,2,-50,6,6,400,2,3,3,2,2,236,1,2,-51,1,30,2,500,2,21,21067,2106746027,21,21067,2,4,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,1,1,2,998,98,6,5,2,2,1,2,1,2,2,2,1,1,-65,5,96,2,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,1,1,-76,-76,-76,1,1,2,2,-2,2,4,1,11043,11043062001,108.183908
8401,1,62001,1,1,4,3,1,35,1,1,3,2,-4,-4,-4,1,2,2,3,2,6,5,0,4,1,3,2,2,2,0,-9,0,-10,0,-11,1,-12,1,-13,1,-14,1,30,30071,2,1,-16,-16,-16,-16,2,-16,-16,16,6,1,-20,-20,2003,1,2,2,2,2,2,-21,-21,2,-22,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,1,-47,3,713,1,2,2,-50,8,6,1000,2,3,3,2,3,238,2,2,-51,2,-52,-52,-52,-52,37,37119,3711912000,37,37119,2,3,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,2,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,2,1,1,1,998,98,3,5,2,2,1,2,1,2,2,2,1,1,-65,5,96,2,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,1,1,-76,-76,-76,1,1,2,2,-2,3,4,1,11043,11043062001,108.183908
8501,1,62001,1,1,4,3,1,43,1,1,2,2,-4,-4,-4,3,2,2,3,2,3,4,0,4,0,2,2,2,3,0,-9,2,1,0,-11,1,-12,1,-13,1,-14,1,24,24010,97,1,-16,-16,-16,-16,97,-16,-16,20,6,1,-20,-20,2000,1,2,2,2,2,2,-21,-21,2,-22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-23,-23,-23,-23,-23,-23,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,-45,2,1,3,965,1,2,2,-50,10,5,400,2,3,3,2,2,561,1,2,-51,1,30,2,200,2,37,37157,3715720080,37,37157,2,3,2,2,2,2,2,-53,-53,-53,-53,-53,-53,-53,1,-55,2,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,2,1,2,1,2,998,98,2,6,2,2,1,2,1,2,2,2,1,1,-65,5,96,98,2,2,2,2,2,1,1,2,3,3,1,2,2,2,1,2,2,-71,-71,-71,-71,-71,-71,2,2,2,2,2,2,2,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,2,2,1,1,-76,-76,-76,1,1,2,2,-2,5,3,1,11043,11043062001,108.183908
